< > 		<string>最近使用したドキュメントを開く</string>
> > 		<string>최근 사용 열기</string>
< > 		<string>最近使用したファイルのリストを消去</string>
> > 		<string>메뉴 지우기</string>
< > 		<string>ビュー</string>
> > 		<string>뷰</string>
< > 		<string>スタジオ</string>
> > 		<string>작업실</string>
< > 		<string>左のスタジオを表示</string>
> > 		<string>왼쪽 작업실 보기</string>
< > 		<string>右のスタジオを表示</string>
> > 		<string>오른쪽 작업실 보기</string>
< > 		<string>スタジオを隠す</string>
> > 		<string>작업실 가리기</string>
< > 		<string>スタジオをリセット</string>
> > 		<string>작업실 재설정</string>
< > 		<string>共有</string>
> > 		<string>공유</string>
< > 		<string>スタジオプリセット</string>
> > 		<string>작업실 미리 설정</string>
< > 		<string>プリセットを追加…</string>
> > 		<string>미리 설정 추가…</string>
< > 		<string>スタジオプリセットを管理…</string>
> > 		<string>작업실 미리 설정 관리…</string>
< > 		<string>最小化</string>
> > 		<string>최소화</string>
< > 		<string>ズーム</string>
> > 		<string>맞추기</string>
< > 		<string>他を隠す</string>
> > 		<string>기타 가리기</string>
< > 		<string>環境設定…</string>
> > 		<string>환경설정…</string>
< > 		<string>終了</string>
> > 		<string>Affinity Publisher 종료</string>
< > 		<string>すべて表示</string>
> > 		<string>모두 보기</string>
< > 		<string>非表示</string>
> > 		<string>가리기</string>
< > 		<string>製品情報…</string>
> > 		<string>Affinity Publisher에 관하여…</string>
< > 		<string>やり直し</string>
> > 		<string>다시 실행</string>
< > 		<string>コピー</string>
> > 		<string>복사</string>
< > 		<string>ペースト</string>
> > 		<string>붙이기</string>
< > 		<string>カット</string>
> > 		<string>오려두기</string>
< > 		<string>取り消し</string>
> > 		<string>실행 취소</string>
< > 		<string>削除</string>
> > 		<string>지우기</string>
< > 		<string>名前を付けて保存…</string>
> > 		<string>다른 이름으로 저장…</string>
< > 		<string>Photoで編集…</string>
> > 		<string>Photo에서 편집…</string>
< > 		<string>閉じる</string>
> > 		<string>닫기</string>
< > 		<string>ドキュメント設定…</string>
> > 		<string>문서 설정…</string>
< > 		<string>新規…</string>
> > 		<string>신규…</string>
< > 		<string>開く…</string>
> > 		<string>열기…</string>
< > 		<string>プリント…</string>
> > 		<string>인쇄…</string>
< > 		<string>ツールをカスタマイズ…</string>
> > 		<string>도구 사용자화…</string>
< > 		<string>ツールバーをカスタマイズ…</string>
> > 		<string>툴바 사용자화…</string>
< > 		<string>ツールバーを表示</string>
< < 		<string>${PRODUCT_NAME} Help</string>
< > 		<string>${PRODUCT_NAME}ヘルプ</string>
> > 		<string>툴바 보기</string>
< > 		<string>複製</string>
> > 		<string>복제</string>
< > 		<string>画面サイズに合わせる</string>
> > 		<string>화면 크기에 맞추기</string>
< > 		<string>裁ち落としを表示</string>
> > 		<string>도련선 보기</string>
< > 		<string>ガイドを表示</string>
> > 		<string>안내선 보기</string>
< > 		<string>グリッドを表示</string>
> > 		<string>격자선 보기</string>
< > 		<string>新規ビュー</string>
> > 		<string>신규 뷰</string>
< > 		<string>配置…</string>
> > 		<string>배치…</string>
< > 		<string>スナップマネージャー…</string>
> > 		<string>스내핑 관리자…</string>
< > 		<string>スタイルをペースト</string>
> > 		<string>스타일 붙이기</string>
< > 		<string>ズームイン</string>
> > 		<string>확대</string>
< > 		<string>ズームアウト</string>
> > 		<string>축소</string>
< > 		<string>交互(奇数-偶数)</string>
> > 		<string>교대하기</string>
< > 		<string>ワインディング(非ゼロ)</string>
> > 		<string>둘러싸기</string>
< > 		<string>ルーラーを表示</string>
> > 		<string>눈금자 보기</string>
< > 		<string>Appleカラーピッカー...</string>
< < 		<string>Align Towards Spine</string>
< > 		<string>のど側に揃える</string>
> > 		<string>Apple 색상 선택기...</string>
< > 		<string>1ページを追加</string>
< < 		<string>Return to owner…</string>
< > 		<string>所有者に返す…</string>
> > 		<string>페이지 추가</string>
< > 		<string>マイアカウント...</string>
< < 		<string>Inverted Exclamation Mark</string>
< > 		<string>逆感嘆符</string>
> > 		<string>내 계정…</string>
< > 		<string>テキストの回り込みを無視</string>
> > 		<string>줄바꿈 무시</string>
< > 		<string>下付き文字</string>
> > 		<string>아랫첨자</string>
< > 		<string>保存</string>
< < 		<string>Increase Level</string>
< > 		<string>レベルを上げる</string>
> > 		<string>저장</string>
< > 		<string>狭める</string>
< < 		<string>Crash</string>
< > 		<string>クラッシュ</string>
> > 		<string>좁게</string>
< > 		<string>外側に移動</string>
< < 		<string>Delete Page Content</string>
< > 		<string>ページコンテンツを削除</string>
> > 		<string>바깥으로 보내기</string>
< > 		<string>リカラー</string>
> > 		<string>재색상</string>
< > 		<string>スペルチェック</string>
> > 		<string>철자 확인</string>
< > 		<string>スペル誤りの単語を無視</string>
> > 		<string>철자 오류 무시</string>
< > 		<string>書式を解除してペースト</string>
< < 		<string>Delete Hyperlink</string>
< > 		<string>ハイパーリンクを削除</string>
< < 		<string>AutoFit Row(s)</string>
< > 		<string>行を自動調整</string>
< < 		<string>More…</string>
< > 		<string>その他…</string>
< < 		<string>Convert to Image Resource</string>
< > 		<string>画像をリソースに変換</string>
> > 		<string>포맷 없이 붙이기</string>
< > 		<string>すべてのウィンドウを結合</string>
< < 		<string>Single Right Guillemet</string>
< > 		<string>右一重山括弧</string>
< < 		<string>Single Base Quote</string>
< > 		<string>一重ベース引用符</string>
> > 		<string>모든 윈도우 통합</string>
< > 		<string>カーブを分離</string>
> > 		<string>곡선 분리</string>
< > 		<string>ゼロ幅スペース</string>
< < 		<string>Column Break</string>
< > 		<string>改段</string>
> > 		<string>폭 없는 공백</string>
< > 		<string>サポート...</string>
> > 		<string>지원...</string>
< > 		<string>選択範囲にズーム</string>
< < 		<string>Right Guillemet</string>
< > 		<string>右二重山括弧</string>
> > 		<string>선택 항목에 맞추기</string>
< > 		<string>上下反転</string>
> > 		<string>세로 뒤집기</string>
< > 		<string>段落スタイルを更新</string>
> > 		<string>문단 스타일 업데이트</string>
< > 		<string>テキストパスに変換</string>
< < 		<string>Update Table of Contents</string>
< > 		<string>目次の更新</string>
> > 		<string>텍스트 경로로 전환</string>
< > 		<string>排他的論理和(複合)</string>
< < 		<string>Total Pages</string>
< > 		<string>合計ページ数</string>
< < 		<string>Show Table Format</string>
< > 		<string>表フォーマットの表示</string>
< < 		<string>Approximately Equal</string>
< > 		<string>ほぼ等しい</string>
< < 		<string>Sort by Row Descending</string>
< > 		<string>行を降順に並べ替え</string>
> > 		<string>배타적논리합 (결합)</string>
< > 		<string>ドキュメントに関する履歴を保存</string>
< < 		<string>Go to Hyperlink Target</string>
< > 		<string>ハイパーリンクターゲットに移動</string>
< < 		<string>Section Manager…</string>
< > 		<string>セクションマネージャー…</string>
< < 		<string>Show Anchors</string>
< > 		<string>アンカーを表示</string>
< < 		<string>Split First Master</string>
< > 		<string>最初のマスターを分割</string>
> > 		<string>문서와 함께 편집 기록 저장</string>
< > 		<string>交差(複合)</string>
> > 		<string>교차 (결합)</string>
< > 		<string>段落スタイルを削除</string>
< < 		<string>Sort by Column Descending</string>
< > 		<string>列を降順に並べ替え</string>
> > 		<string>문단 스타일 지우기</string>
< > 		<string>カラーバランス</string>
< < 		<string>Left Guillemet</string>
< > 		<string>左二重山括弧</string>
< < 		<string>Toggle Unicode</string>
< > 		<string>Unicodeを切り替え</string>
> > 		<string>색상 밸런스</string>
< > 		<string>水平方向に均等配置</string>
< < 		<string>Insert Index</string>
< > 		<string>インデックスの挿入</string>
< < 		<string>Select on Left</string>
< > 		<string>左で選択</string>
> > 		<string>가로 분배</string>
< > 		<string>拡大</string>
> > 		<string>늘리기</string>
< > 		<string>中央揃え</string>
> > 		<string>가로 가운데 정렬</string>
< > 		<string>上揃え</string>
> > 		<string>위쪽 정렬</string>
< > 		<string>写真ペルソナ</string>
> > 		<string>사진 페르소나</string>
< > 		<string>テキストスタイルをインポート…</string>
> > 		<string>텍스트 스타일 들여오기…</string>
< > 		<string>パッケージとして保存…</string>
< < 		<string>Place Linked HTTP Image</string>
< > 		<string>リンクされたHTTP画像を配置</string>
> > 		<string>패키지로 저장…</string>
< > 		<string>フィラーテキストを挿入</string>
> > 		<string>Lorem Ipsum</string>
< > 		<string>すべての行を均等配置</string>
> > 		<string>양쪽 균등 정렬</string>
< > 		<string>ベースラインを上げる</string>
> > 		<string>기준선 올리기</string>
< > 		<string>分割表示</string>
< < 		<string>Show Text Wrap Settings...</string>
< > 		<string>テキストの回り込み設定を表示...</string>
< < 		<string>Previous Frame Page Number</string>
< > 		<string>前のフレームページ番号</string>
> > 		<string>분할 뷰 모드</string>
< > 		<string>タブ</string>
> > 		<string>탭</string>
< > 		<string>デフォルト</string>
> > 		<string>기본값</string>
< > 		<string>最前面に移動</string>
> > 		<string>맨 앞으로 가져오기</string>
< > 		<string>エフェクトをペースト</string>
> > 		<string>효과 붙이기</string>
< > 		<string>さらに拡げる</string>
< > 		<string>すべて表示</string>
> > 		<string>더욱 넓게</string>
< > 		<string>ツールを表示</string>
< < 		<string>Update Index</string>
< > 		<string>インデックスの更新</string>
< < 		<string>Anchor Properties...</string>
< > 		<string>アンカープロパティ...</string>
< < 		<string>Save Formats as Default</string>
< > 		<string>フォーマットをデフォルトとして保存</string>
< < 		<string>Single Left Quote</string>
< > 		<string>左一重引用符</string>
> > 		<string>도구 보기</string>
< > 		<string>出荷時の設定にリセット</string>
< < 		<string>Last Page in Section Run</string>
< > 		<string>セクションの最後のページの実行</string>
> > 		<string>기본값 재설정</string>
< > 		<string>水平方向に等間隔配置</string>
> > 		<string>가로 공백</string>
< > 		<string>スプレッド設定…</string>
< < 		<string>Expand Field</string>
< > 		<string>フィールドを展開</string>
> > 		<string>스프레드 설정…</string>
< > 		<string>すべてのスタイルを切り離して削除</string>
> > 		<string>모든 스타일 벗기고 지우기</string>
< > 		<string>中央</string>
> > 		<string>가운데</string>
< > 		<string>内側</string>
> > 		<string>안으로</string>
< > 		<string>文字スタイルを作成</string>
> > 		<string>문자 스타일 생성</string>
< > 		<string>回転をリセット</string>
< > 		<string>非表示</string>
> > 		<string>회전 재설정</string>
< > 		<string>厳密な拡大</string>
< < 		<string>Even Page Break</string>
< > 		<string>偶数改ページ</string>
< < 		<string>Copy Page Content</string>
< > 		<string>ページコンテンツをコピー</string>
> > 		<string>조금씩 크게</string>
< > 		<string>前面へ</string>
< < 		<string>Third Space</string>
< > 		<string>3分の1スペース</string>
> > 		<string>앞으로 가져오기</string>
< > 		<string>背面へ</string>
> > 		<string>뒤로 보내기</string>
< > 		<string>追加(複合)</string>
> > 		<string>추가 (결합)</string>
< > 		<string>右に回転</string>
> > 		<string>오른쪽으로 회전</string>
< > 		<string>アートボードを挿入</string>
< < 		<string>Add Pages…</string>
< > 		<string>ページを追加…</string>
< < 		<string>Compare Spreads</string>
< > 		<string>スプレッドの比較</string>
< < 		<string>Per Mille</string>
< > 		<string>パーミル</string>
< < 		<string>Degree</string>
< > 		<string>度</string>
< < 		<string>Narrow Non-Breaking Space</string>
< > 		<string>狭い分散禁止スペース</string>
> > 		<string>아트보드 삽입</string>
< > 		<string>交差</string>
> > 		<string>교차</string>
< > 		<string>スモールキャップス</string>
< < 		<string>Ellipsis</string>
< > 		<string>省略記号</string>
< < 		<string>Show Index Marks</string>
< > 		<string>インデックスマークの表示</string>
> > 		<string>작은 대문자</string>
< > 		<string>均等配置(最終行左揃え)</string>
< < 		<string>Trademark</string>
< > 		<string>商標</string>
